subject	activity	domain	signal	feature	axis	valuetype	meanvalue	count
1	WALKING	Frequency	Body	Acceleration	X	mean	-0.531895161258213	347
1	WALKING	Frequency	Body	Acceleration	X	std	-0.553060616663401	347
1	WALKING	Frequency	Body	Acceleration	Y	mean	-0.406435448904438	347
1	WALKING	Frequency	Body	Acceleration	Y	std	-0.390150939647061	347
1	WALKING	Frequency	Body	Acceleration	Z	mean	-0.596411165253602	347
1	WALKING	Frequency	Body	Acceleration	Z	std	-0.498583091676081	347
1	WALKING	Frequency	Body	AccelerationJerk	X	mean	-0.547348892435764	347
1	WALKING	Frequency	Body	AccelerationJerk	X	std	-0.543979776127867	347
1	WALKING	Frequency	Body	AccelerationJerk	Y	mean	-0.507343617969859	347
1	WALKING	Frequency	Body	AccelerationJerk	Y	std	-0.466251676533372	347
1	WALKING	Frequency	Body	AccelerationJerk	Z	mean	-0.695305113832853	347
1	WALKING	Frequency	Body	AccelerationJerk	Z	std	-0.737861932680115	347
1	WALKING	Frequency	Body	AccelerationJerkMagnitude	NA	mean	-0.499075765624092	347
1	WALKING	Frequency	Body	AccelerationJerkMagnitude	NA	std	-0.541823079570029	347
1	WALKING	Frequency	Body	AccelerationMagnitude	NA	mean	-0.478448523354179	347
1	WALKING	Frequency	Body	AccelerationMagnitude	NA	std	-0.589710231217867	347
1	WALKING	Frequency	Body	AngularJerkMagnitude	NA	mean	-0.645970655298847	347
1	WALKING	Frequency	Body	AngularJerkMagnitude	NA	std	-0.685811262634006	347
1	WALKING	Frequency	Body	AngularVelocity	X	mean	-0.623219182311527	347
1	WALKING	Frequency	Body	AngularVelocity	X	std	-0.708263420861671	347
1	WALKING	Frequency	Body	AngularVelocity	Y	mean	-0.505309434070029	347
1	WALKING	Frequency	Body	AngularVelocity	Y	std	-0.429825832648703	347
1	WALKING	Frequency	Body	AngularVelocity	Z	mean	-0.553529065425648	347
1	WALKING	Frequency	Body	AngularVelocity	Z	std	-0.650476162132565	347
1	WALKING	Frequency	Body	AngularVelocityMagnitude	NA	mean	-0.535002770337752	347
1	WALKING	Frequency	Body	AngularVelocityMagnitude	NA	std	-0.566576670397695	347
1	WALKING	Time	Body	Acceleration	X	mean	0.265696920582133	347
1	WALKING	Time	Body	Acceleration	X	std	-0.545795331328326	347
1	WALKING	Time	Body	Acceleration	Y	mean	-0.0182981725176081	347
1	WALKING	Time	Body	Acceleration	Y	std	-0.367716218227378	347
1	WALKING	Time	Body	Acceleration	Z	mean	-0.10784573454611	347
1	WALKING	Time	Body	Acceleration	Z	std	-0.502645746562824	347
1	WALKING	Time	Body	AccelerationJerk	X	mean	0.0770930495126801	347
1	WALKING	Time	Body	AccelerationJerk	X	std	-0.524721922818732	347
1	WALKING	Time	Body	AccelerationJerk	Y	mean	0.0165908438802305	347
1	WALKING	Time	Body	AccelerationJerk	Y	std	-0.470412403511239	347
1	WALKING	Time	Body	AccelerationJerk	Z	mean	-0.00910758730117003	347
1	WALKING	Time	Body	AccelerationJerk	Z	std	-0.717322274881844	347
1	WALKING	Time	Body	AccelerationJerkMagnitude	NA	mean	-0.545431612066571	347
